№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
136,U+1F476 U+1F3FB,👶🏻,—,,,,,,,,,—,—,—,—,baby: light skin tone,2015,baby | light skin tone | young
137,U+1F476 U+1F3FC,👶🏼,—,,,,,,,,,—,—,—,—,baby: medium-light skin tone,2015,baby | medium-light skin tone | young
138,U+1F476 U+1F3FD,👶🏽,—,,,,,,,,,—,—,—,—,baby: medium skin tone,2015,baby | medium skin tone | young
139,U+1F476 U+1F3FE,👶🏾,—,,,,,,,,,—,—,—,—,baby: medium-dark skin tone,2015,baby | medium-dark skin tone | young
140,U+1F476 U+1F3FF,👶🏿,—,,,,,,,,,—,—,—,—,baby: dark skin tone,2015,baby | dark skin tone | young
141,U+1F47C,👼,,,,,,,,,,,,—,,baby angel,2010,angel | baby | face | fairy tale | fantasy
142,U+1F47C U+1F3FB,👼🏻,—,,,,,,,,,—,—,—,—,baby angel: light skin tone,2015,angel | baby | face | fairy tale | fantasy | light skin tone
143,U+1F47C U+1F3FC,👼🏼,—,,,,,,,,,—,—,—,—,baby angel: medium-light skin tone,2015,angel | baby | face | fairy tale | fantasy | medium-light skin tone
144,U+1F47C U+1F3FD,👼🏽,—,,,,,,,,,—,—,—,—,baby angel: medium skin tone,2015,angel | baby | face | fairy tale | fantasy | medium skin tone
145,U+1F47C U+1F3FE,👼🏾,—,,,,,,,,,—,—,—,—,baby angel: medium-dark skin tone,2015,angel | baby | face | fairy tale | fantasy | medium-dark skin tone
146,U+1F47C U+1F3FF,👼🏿,—,,,,,,,,,—,—,—,—,baby angel: dark skin tone,2015,angel | baby | dark skin tone | face | fairy tale | fantasy
147,U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,man health worker,2010,doctor | healthcare | man | nurse | therapist
148,U+1F468 U+1F3FB U+200D U+2695 U+FE0F,👨🏻‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,man health worker: light skin tone,2015,doctor | healthcare | light skin tone | man | nurse | therapist
149,U+1F468 U+1F3FC U+200D U+2695 U+FE0F,👨🏼‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,man health worker: medium-light skin tone,2015,doctor | healthcare | man | medium-light skin tone | nurse | therapist
150,U+1F468 U+1F3FD U+200D U+2695 U+FE0F,👨🏽‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,man health worker: medium skin tone,2015,doctor | healthcare | man | medium skin tone | nurse | therapist
151,U+1F468 U+1F3FE U+200D U+2695 U+FE0F,👨🏾‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,man health worker: medium-dark skin tone,2015,doctor | healthcare | man | medium-dark skin tone | nurse | therapist
152,U+1F468 U+1F3FF U+200D U+2695 U+FE0F,👨🏿‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,man health worker: dark skin tone,2015,dark skin tone | doctor | healthcare | man | nurse | therapist
153,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,woman health worker,2010,doctor | healthcare | nurse | therapist | woman
154,U+1F469 U+1F3FB U+200D U+2695 U+FE0F,👩🏻‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,woman health worker: light skin tone,2015,doctor | healthcare | light skin tone | nurse | therapist | woman
155,U+1F469 U+1F3FC U+200D U+2695 U+FE0F,👩🏼‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,woman health worker: medium-light skin tone,2015,doctor | healthcare | medium-light skin tone | nurse | therapist | woman
156,U+1F469 U+1F3FD U+200D U+2695 U+FE0F,👩🏽‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,woman health worker: medium skin tone,2015,doctor | healthcare | medium skin tone | nurse | therapist | woman
157,U+1F469 U+1F3FE U+200D U+2695 U+FE0F,👩🏾‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,woman health worker: medium-dark skin tone,2015,doctor | healthcare | medium-dark skin tone | nurse | therapist | woman
158,U+1F469 U+1F3FF U+200D U+2695 U+FE0F,👩🏿‍⚕️,—,,,,—,—,—,—,—,—,—,—,—,woman health worker: dark skin tone,2015,dark skin tone | doctor | healthcare | nurse | therapist | woman
159,U+1F468 U+200D U+1F393,👨‍🎓,—,,,,—,—,—,—,—,—,—,—,—,man student,2010,graduate | man | student
160,U+1F468 U+1F3FB U+200D U+1F393,👨🏻‍🎓,—,,,,—,—,—,—,—,—,—,—,—,man student: light skin tone,2015,graduate | light skin tone | man | student
161,U+1F468 U+1F3FC U+200D U+1F393,👨🏼‍🎓,—,,,,—,—,—,—,—,—,—,—,—,man student: medium-light skin tone,2015,graduate | man | medium-light skin tone | student
162,U+1F468 U+1F3FD U+200D U+1F393,👨🏽‍🎓,—,,,,—,—,—,—,—,—,—,—,—,man student: medium skin tone,2015,graduate | man | medium skin tone | student
163,U+1F468 U+1F3FE U+200D U+1F393,👨🏾‍🎓,—,,,,—,—,—,—,—,—,—,—,—,man student: medium-dark skin tone,2015,graduate | man | medium-dark skin tone | student
164,U+1F468 U+1F3FF U+200D U+1F393,👨🏿‍🎓,—,,,,—,—,—,—,—,—,—,—,—,man student: dark skin tone,2015,dark skin tone | graduate | man | student
165,U+1F469 U+200D U+1F393,👩‍🎓,—,,,,—,—,—,—,—,—,—,—,—,woman student,2010,graduate | student | woman
166,U+1F469 U+1F3FB U+200D U+1F393,👩🏻‍🎓,—,,,,—,—,—,—,—,—,—,—,—,woman student: light skin tone,2015,graduate | light skin tone | student | woman
