№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
205,U+1F469 U+1F3FE U+200D U+1F33E,👩🏾‍🌾,—,,,,—,—,—,—,—,—,—,—,—,woman farmer: medium-dark skin tone,2015,farmer | gardener | medium-dark skin tone | rancher | woman
206,U+1F469 U+1F3FF U+200D U+1F33E,👩🏿‍🌾,—,,,,—,—,—,—,—,—,—,—,—,woman farmer: dark skin tone,2015,dark skin tone | farmer | gardener | rancher | woman
207,U+1F468 U+200D U+1F373,👨‍🍳,—,,,,—,—,—,—,—,—,—,—,—,man cook,2010,chef | cook | man
208,U+1F468 U+1F3FB U+200D U+1F373,👨🏻‍🍳,—,,,,—,—,—,—,—,—,—,—,—,man cook: light skin tone,2015,chef | cook | light skin tone | man
209,U+1F468 U+1F3FC U+200D U+1F373,👨🏼‍🍳,—,,,,—,—,—,—,—,—,—,—,—,man cook: medium-light skin tone,2015,chef | cook | man | medium-light skin tone
210,U+1F468 U+1F3FD U+200D U+1F373,👨🏽‍🍳,—,,,,—,—,—,—,—,—,—,—,—,man cook: medium skin tone,2015,chef | cook | man | medium skin tone
211,U+1F468 U+1F3FE U+200D U+1F373,👨🏾‍🍳,—,,,,—,—,—,—,—,—,—,—,—,man cook: medium-dark skin tone,2015,chef | cook | man | medium-dark skin tone
212,U+1F468 U+1F3FF U+200D U+1F373,👨🏿‍🍳,—,,,,—,—,—,—,—,—,—,—,—,man cook: dark skin tone,2015,chef | cook | dark skin tone | man
213,U+1F469 U+200D U+1F373,👩‍🍳,—,,,,—,—,—,—,—,—,—,—,—,woman cook,2010,chef | cook | woman
214,U+1F469 U+1F3FB U+200D U+1F373,👩🏻‍🍳,—,,,,—,—,—,—,—,—,—,—,—,woman cook: light skin tone,2015,chef | cook | light skin tone | woman
215,U+1F469 U+1F3FC U+200D U+1F373,👩🏼‍🍳,—,,,,—,—,—,—,—,—,—,—,—,woman cook: medium-light skin tone,2015,chef | cook | medium-light skin tone | woman
216,U+1F469 U+1F3FD U+200D U+1F373,👩🏽‍🍳,—,,,,—,—,—,—,—,—,—,—,—,woman cook: medium skin tone,2015,chef | cook | medium skin tone | woman
217,U+1F469 U+1F3FE U+200D U+1F373,👩🏾‍🍳,—,,,,—,—,—,—,—,—,—,—,—,woman cook: medium-dark skin tone,2015,chef | cook | medium-dark skin tone | woman
218,U+1F469 U+1F3FF U+200D U+1F373,👩🏿‍🍳,—,,,,—,—,—,—,—,—,—,—,—,woman cook: dark skin tone,2015,chef | cook | dark skin tone | woman
219,U+1F468 U+200D U+1F527,👨‍🔧,—,,,,—,—,—,—,—,—,—,—,—,man mechanic,2010,electrician | man | mechanic | plumber | tradesperson
220,U+1F468 U+1F3FB U+200D U+1F527,👨🏻‍🔧,—,,,,—,—,—,—,—,—,—,—,—,man mechanic: light skin tone,2015,electrician | light skin tone | man | mechanic | plumber | tradesperson
221,U+1F468 U+1F3FC U+200D U+1F527,👨🏼‍🔧,—,,,,—,—,—,—,—,—,—,—,—,man mechanic: medium-light skin tone,2015,electrician | man | mechanic | medium-light skin tone | plumber | tradesperson
222,U+1F468 U+1F3FD U+200D U+1F527,👨🏽‍🔧,—,,,,—,—,—,—,—,—,—,—,—,man mechanic: medium skin tone,2015,electrician | man | mechanic | medium skin tone | plumber | tradesperson
223,U+1F468 U+1F3FE U+200D U+1F527,👨🏾‍🔧,—,,,,—,—,—,—,—,—,—,—,—,man mechanic: medium-dark skin tone,2015,electrician | man | mechanic | medium-dark skin tone | plumber | tradesperson
224,U+1F468 U+1F3FF U+200D U+1F527,👨🏿‍🔧,—,,,,—,—,—,—,—,—,—,—,—,man mechanic: dark skin tone,2015,dark skin tone | electrician | man | mechanic | plumber | tradesperson
225,U+1F469 U+200D U+1F527,👩‍🔧,—,,,,—,—,—,—,—,—,—,—,—,woman mechanic,2010,electrician | mechanic | plumber | tradesperson | woman
226,U+1F469 U+1F3FB U+200D U+1F527,👩🏻‍🔧,—,,,,—,—,—,—,—,—,—,—,—,woman mechanic: light skin tone,2015,electrician | light skin tone | mechanic | plumber | tradesperson | woman
227,U+1F469 U+1F3FC U+200D U+1F527,👩🏼‍🔧,—,,,,—,—,—,—,—,—,—,—,—,woman mechanic: medium-light skin tone,2015,electrician | mechanic | medium-light skin tone | plumber | tradesperson | woman
228,U+1F469 U+1F3FD U+200D U+1F527,👩🏽‍🔧,—,,,,—,—,—,—,—,—,—,—,—,woman mechanic: medium skin tone,2015,electrician | mechanic | medium skin tone | plumber | tradesperson | woman
229,U+1F469 U+1F3FE U+200D U+1F527,👩🏾‍🔧,—,,,,—,—,—,—,—,—,—,—,—,woman mechanic: medium-dark skin tone,2015,electrician | mechanic | medium-dark skin tone | plumber | tradesperson | woman
230,U+1F469 U+1F3FF U+200D U+1F527,👩🏿‍🔧,—,,,,—,—,—,—,—,—,—,—,—,woman mechanic: dark skin tone,2015,dark skin tone | electrician | mechanic | plumber | tradesperson | woman
231,U+1F468 U+200D U+1F3ED,👨‍🏭,—,,,,—,—,—,—,—,—,—,—,—,man factory worker,2010,assembly | factory | industrial | man | worker
232,U+1F468 U+1F3FB U+200D U+1F3ED,👨🏻‍🏭,—,,,,—,—,—,—,—,—,—,—,—,man factory worker: light skin tone,2015,assembly | factory | industrial | light skin tone | man | worker
233,U+1F468 U+1F3FC U+200D U+1F3ED,👨🏼‍🏭,—,,,,—,—,—,—,—,—,—,—,—,man factory worker: medium-light skin tone,2015,assembly | factory | industrial | man | medium-light skin tone | worker
234,U+1F468 U+1F3FD U+200D U+1F3ED,👨🏽‍🏭,—,,,,—,—,—,—,—,—,—,—,—,man factory worker: medium skin tone,2015,assembly | factory | industrial | man | medium skin tone | worker
235,U+1F468 U+1F3FE U+200D U+1F3ED,👨🏾‍🏭,—,,,,—,—,—,—,—,—,—,—,—,man factory worker: medium-dark skin tone,2015,assembly | factory | industrial | man | medium-dark skin tone | worker
236,U+1F468 U+1F3FF U+200D U+1F3ED,👨🏿‍🏭,—,,,,—,—,—,—,—,—,—,—,—,man factory worker: dark skin tone,2015,assembly | dark skin tone | factory | industrial | man | worker
237,U+1F469 U+200D U+1F3ED,👩‍🏭,—,,,,—,—,—,—,—,—,—,—,—,woman factory worker,2010,assembly | factory | industrial | woman | worker
238,U+1F469 U+1F3FB U+200D U+1F3ED,👩🏻‍🏭,—,,,,—,—,—,—,—,—,—,—,—,woman factory worker: light skin tone,2015,assembly | factory | industrial | light skin tone | woman | worker
239,U+1F469 U+1F3FC U+200D U+1F3ED,👩🏼‍🏭,—,,,,—,—,—,—,—,—,—,—,—,woman factory worker: medium-light skin tone,2015,assembly | factory | industrial | medium-light skin tone | woman | worker
240,U+1F469 U+1F3FD U+200D U+1F3ED,👩🏽‍🏭,—,,,,—,—,—,—,—,—,—,—,—,woman factory worker: medium skin tone,2015,assembly | factory | industrial | medium skin tone | woman | worker
241,U+1F469 U+1F3FE U+200D U+1F3ED,👩🏾‍🏭,—,,,,—,—,—,—,—,—,—,—,—,woman factory worker: medium-dark skin tone,2015,assembly | factory | industrial | medium-dark skin tone | woman | worker
242,U+1F469 U+1F3FF U+200D U+1F3ED,👩🏿‍🏭,—,,,,—,—,—,—,—,—,—,—,—,woman factory worker: dark skin tone,2015,assembly | dark skin tone | factory | industrial | woman | worker
243,U+1F468 U+200D U+1F4BC,👨‍💼,—,,,,—,—,—,—,—,—,—,—,—,man office worker,2010,architect | business | man | manager | office | white-collar
244,U+1F468 U+1F3FB U+200D U+1F4BC,👨🏻‍💼,—,,,,—,—,—,—,—,—,—,—,—,man office worker: light skin tone,2015,architect | business | light skin tone | man | manager | office | white-collar
245,U+1F468 U+1F3FC U+200D U+1F4BC,👨🏼‍💼,—,,,,—,—,—,—,—,—,—,—,—,man office worker: medium-light skin tone,2015,architect | business | man | manager | medium-light skin tone | office | white-collar
246,U+1F468 U+1F3FD U+200D U+1F4BC,👨🏽‍💼,—,,,,—,—,—,—,—,—,—,—,—,man office worker: medium skin tone,2015,architect | business | man | manager | medium skin tone | office | white-collar
247,U+1F468 U+1F3FE U+200D U+1F4BC,👨🏾‍💼,—,,,,—,—,—,—,—,—,—,—,—,man office worker: medium-dark skin tone,2015,architect | business | man | manager | medium-dark skin tone | office | white-collar
248,U+1F468 U+1F3FF U+200D U+1F4BC,👨🏿‍💼,—,,,,—,—,—,—,—,—,—,—,—,man office worker: dark skin tone,2015,architect | business | dark skin tone | man | manager | office | white-collar
249,U+1F469 U+200D U+1F4BC,👩‍💼,—,,,,—,—,—,—,—,—,—,—,—,woman office worker,2010,architect | business | manager | office | white-collar | woman
250,U+1F469 U+1F3FB U+200D U+1F4BC,👩🏻‍💼,—,,,,—,—,—,—,—,—,—,—,—,woman office worker: light skin tone,2015,architect | business | light skin tone | manager | office | white-collar | woman
251,U+1F469 U+1F3FC U+200D U+1F4BC,👩🏼‍💼,—,,,,—,—,—,—,—,—,—,—,—,woman office worker: medium-light skin tone,2015,architect | business | manager | medium-light skin tone | office | white-collar | woman
252,U+1F469 U+1F3FD U+200D U+1F4BC,👩🏽‍💼,—,,,,—,—,—,—,—,—,—,—,—,woman office worker: medium skin tone,2015,architect | business | manager | medium skin tone | office | white-collar | woman
253,U+1F469 U+1F3FE U+200D U+1F4BC,👩🏾‍💼,—,,,,—,—,—,—,—,—,—,—,—,woman office worker: medium-dark skin tone,2015,architect | business | manager | medium-dark skin tone | office | white-collar | woman
254,U+1F469 U+1F3FF U+200D U+1F4BC,👩🏿‍💼,—,,,,—,—,—,—,—,—,—,—,—,woman office worker: dark skin tone,2015,architect | business | dark skin tone | manager | office | white-collar | woman
255,U+1F468 U+200D U+1F52C,👨‍🔬,—,,,,—,—,—,—,—,—,—,—,—,man scientist,2010,biologist | chemist | engineer | man | mathematician | physicist | scientist
256,U+1F468 U+1F3FB U+200D U+1F52C,👨🏻‍🔬,—,,,,—,—,—,—,—,—,—,—,—,man scientist: light skin tone,2015,biologist | chemist | engineer | light skin tone | man | mathematician | physicist | scientist
257,U+1F468 U+1F3FC U+200D U+1F52C,👨🏼‍🔬,—,,,,—,—,—,—,—,—,—,—,—,man scientist: medium-light skin tone,2015,biologist | chemist | engineer | man | mathematician | medium-light skin tone | physicist | scientist
258,U+1F468 U+1F3FD U+200D U+1F52C,👨🏽‍🔬,—,,,,—,—,—,—,—,—,—,—,—,man scientist: medium skin tone,2015,biologist | chemist | engineer | man | mathematician | medium skin tone | physicist | scientist
259,U+1F468 U+1F3FE U+200D U+1F52C,👨🏾‍🔬,—,,,,—,—,—,—,—,—,—,—,—,man scientist: medium-dark skin tone,2015,biologist | chemist | engineer | man | mathematician | medium-dark skin tone | physicist | scientist
260,U+1F468 U+1F3FF U+200D U+1F52C,👨🏿‍🔬,—,,,,—,—,—,—,—,—,—,—,—,man scientist: dark skin tone,2015,biologist | chemist | dark skin tone | engineer | man | mathematician | physicist | scientist
261,U+1F469 U+200D U+1F52C,👩‍🔬,—,,,,—,—,—,—,—,—,—,—,—,woman scientist,2010,biologist | chemist | engineer | mathematician | physicist | scientist | woman
262,U+1F469 U+1F3FB U+200D U+1F52C,👩🏻‍🔬,—,,,,—,—,—,—,—,—,—,—,—,woman scientist: light skin tone,2015,biologist | chemist | engineer | light skin tone | mathematician | physicist | scientist | woman
263,U+1F469 U+1F3FC U+200D U+1F52C,👩🏼‍🔬,—,,,,—,—,—,—,—,—,—,—,—,woman scientist: medium-light skin tone,2015,biologist | chemist | engineer | mathematician | medium-light skin tone | physicist | scientist | woman
264,U+1F469 U+1F3FD U+200D U+1F52C,👩🏽‍🔬,—,,,,—,—,—,—,—,—,—,—,—,woman scientist: medium skin tone,2015,biologist | chemist | engineer | mathematician | medium skin tone | physicist | scientist | woman
265,U+1F469 U+1F3FE U+200D U+1F52C,👩🏾‍🔬,—,,,,—,—,—,—,—,—,—,—,—,woman scientist: medium-dark skin tone,2015,biologist | chemist | engineer | mathematician | medium-dark skin tone | physicist | scientist | woman
266,U+1F469 U+1F3FF U+200D U+1F52C,👩🏿‍🔬,—,,,,—,—,—,—,—,—,—,—,—,woman scientist: dark skin tone,2015,biologist | chemist | dark skin tone | engineer | mathematician | physicist | scientist | woman
267,U+1F468 U+200D U+1F4BB,👨‍💻,—,,,,—,—,—,—,—,—,—,—,—,man technologist,2010,coder | developer | inventor | man | software | technologist
268,U+1F468 U+1F3FB U+200D U+1F4BB,👨🏻‍💻,—,,,,—,—,—,—,—,—,—,—,—,man technologist: light skin tone,2015,coder | developer | inventor | light skin tone | man | software | technologist
269,U+1F468 U+1F3FC U+200D U+1F4BB,👨🏼‍💻,—,,,,—,—,—,—,—,—,—,—,—,man technologist: medium-light skin tone,2015,coder | developer | inventor | man | medium-light skin tone | software | technologist
270,U+1F468 U+1F3FD U+200D U+1F4BB,👨🏽‍💻,—,,,,—,—,—,—,—,—,—,—,—,man technologist: medium skin tone,2015,coder | developer | inventor | man | medium skin tone | software | technologist
271,U+1F468 U+1F3FE U+200D U+1F4BB,👨🏾‍💻,—,,,,—,—,—,—,—,—,—,—,—,man technologist: medium-dark skin tone,2015,coder | developer | inventor | man | medium-dark skin tone | software | technologist
272,U+1F468 U+1F3FF U+200D U+1F4BB,👨🏿‍💻,—,,,,—,—,—,—,—,—,—,—,—,man technologist: dark skin tone,2015,coder | dark skin tone | developer | inventor | man | software | technologist
273,U+1F469 U+200D U+1F4BB,👩‍💻,—,,,,—,—,—,—,—,—,—,—,—,woman technologist,2010,coder | developer | inventor | software | technologist | woman
274,U+1F469 U+1F3FB U+200D U+1F4BB,👩🏻‍💻,—,,,,—,—,—,—,—,—,—,—,—,woman technologist: light skin tone,2015,coder | developer | inventor | light skin tone | software | technologist | woman
275,U+1F469 U+1F3FC U+200D U+1F4BB,👩🏼‍💻,—,,,,—,—,—,—,—,—,—,—,—,woman technologist: medium-light skin tone,2015,coder | developer | inventor | medium-light skin tone | software | technologist | woman
276,U+1F469 U+1F3FD U+200D U+1F4BB,👩🏽‍💻,—,,,,—,—,—,—,—,—,—,—,—,woman technologist: medium skin tone,2015,coder | developer | inventor | medium skin tone | software | technologist | woman
277,U+1F469 U+1F3FE U+200D U+1F4BB,👩🏾‍💻,—,,,,—,—,—,—,—,—,—,—,—,woman technologist: medium-dark skin tone,2015,coder | developer | inventor | medium-dark skin tone | software | technologist | woman
278,U+1F469 U+1F3FF U+200D U+1F4BB,👩🏿‍💻,—,,,,—,—,—,—,—,—,—,—,—,woman technologist: dark skin tone,2015,coder | dark skin tone | developer | inventor | software | technologist | woman
279,U+1F468 U+200D U+1F3A4,👨‍🎤,—,,,,—,—,—,—,—,—,—,—,—,man singer,2010,actor | entertainer | man | rock | singer | star
280,U+1F468 U+1F3FB U+200D U+1F3A4,👨🏻‍🎤,—,,,,—,—,—,—,—,—,—,—,—,man singer: light skin tone,2015,actor | entertainer | light skin tone | man | rock | singer | star
281,U+1F468 U+1F3FC U+200D U+1F3A4,👨🏼‍🎤,—,,,,—,—,—,—,—,—,—,—,—,man singer: medium-light skin tone,2015,actor | entertainer | man | medium-light skin tone | rock | singer | star
282,U+1F468 U+1F3FD U+200D U+1F3A4,👨🏽‍🎤,—,,,,—,—,—,—,—,—,—,—,—,man singer: medium skin tone,2015,actor | entertainer | man | medium skin tone | rock | singer | star
283,U+1F468 U+1F3FE U+200D U+1F3A4,👨🏾‍🎤,—,,,,—,—,—,—,—,—,—,—,—,man singer: medium-dark skin tone,2015,actor | entertainer | man | medium-dark skin tone | rock | singer | star
284,U+1F468 U+1F3FF U+200D U+1F3A4,👨🏿‍🎤,—,,,,—,—,—,—,—,—,—,—,—,man singer: dark skin tone,2015,actor | dark skin tone | entertainer | man | rock | singer | star
285,U+1F469 U+200D U+1F3A4,👩‍🎤,—,,,,—,—,—,—,—,—,—,—,—,woman singer,2010,actor | entertainer | rock | singer | star | woman
286,U+1F469 U+1F3FB U+200D U+1F3A4,👩🏻‍🎤,—,,,,—,—,—,—,—,—,—,—,—,woman singer: light skin tone,2015,actor | entertainer | light skin tone | rock | singer | star | woman
287,U+1F469 U+1F3FC U+200D U+1F3A4,👩🏼‍🎤,—,,,,—,—,—,—,—,—,—,—,—,woman singer: medium-light skin tone,2015,actor | entertainer | medium-light skin tone | rock | singer | star | woman
288,U+1F469 U+1F3FD U+200D U+1F3A4,👩🏽‍🎤,—,,,,—,—,—,—,—,—,—,—,—,woman singer: medium skin tone,2015,actor | entertainer | medium skin tone | rock | singer | star | woman
289,U+1F469 U+1F3FE U+200D U+1F3A4,👩🏾‍🎤,—,,,,—,—,—,—,—,—,—,—,—,woman singer: medium-dark skin tone,2015,actor | entertainer | medium-dark skin tone | rock | singer | star | woman
290,U+1F469 U+1F3FF U+200D U+1F3A4,👩🏿‍🎤,—,,,,—,—,—,—,—,—,—,—,—,woman singer: dark skin tone,2015,actor | dark skin tone | entertainer | rock | singer | star | woman
291,U+1F468 U+200D U+1F3A8,👨‍🎨,—,,,,—,—,—,—,—,—,—,—,—,man artist,2010,artist | man | palette
292,U+1F468 U+1F3FB U+200D U+1F3A8,👨🏻‍🎨,—,,,,—,—,—,—,—,—,—,—,—,man artist: light skin tone,2015,artist | light skin tone | man | palette
293,U+1F468 U+1F3FC U+200D U+1F3A8,👨🏼‍🎨,—,,,,—,—,—,—,—,—,—,—,—,man artist: medium-light skin tone,2015,artist | man | medium-light skin tone | palette
294,U+1F468 U+1F3FD U+200D U+1F3A8,👨🏽‍🎨,—,,,,—,—,—,—,—,—,—,—,—,man artist: medium skin tone,2015,artist | man | medium skin tone | palette
295,U+1F468 U+1F3FE U+200D U+1F3A8,👨🏾‍🎨,—,,,,—,—,—,—,—,—,—,—,—,man artist: medium-dark skin tone,2015,artist | man | medium-dark skin tone | palette
296,U+1F468 U+1F3FF U+200D U+1F3A8,👨🏿‍🎨,—,,,,—,—,—,—,—,—,—,—,—,man artist: dark skin tone,2015,artist | dark skin tone | man | palette
297,U+1F469 U+200D U+1F3A8,👩‍🎨,—,,,,—,—,—,—,—,—,—,—,—,woman artist,2010,artist | palette | woman
298,U+1F469 U+1F3FB U+200D U+1F3A8,👩🏻‍🎨,—,,,,—,—,—,—,—,—,—,—,—,woman artist: light skin tone,2015,artist | light skin tone | palette | woman
299,U+1F469 U+1F3FC U+200D U+1F3A8,👩🏼‍🎨,—,,,,—,—,—,—,—,—,—,—,—,woman artist: medium-light skin tone,2015,artist | medium-light skin tone | palette | woman
300,U+1F469 U+1F3FD U+200D U+1F3A8,👩🏽‍🎨,—,,,,—,—,—,—,—,—,—,—,—,woman artist: medium skin tone,2015,artist | medium skin tone | palette | woman
301,U+1F469 U+1F3FE U+200D U+1F3A8,👩🏾‍🎨,—,,,,—,—,—,—,—,—,—,—,—,woman artist: medium-dark skin tone,2015,artist | medium-dark skin tone | palette | woman
302,U+1F469 U+1F3FF U+200D U+1F3A8,👩🏿‍🎨,—,,,,—,—,—,—,—,—,—,—,—,woman artist: dark skin tone,2015,artist | dark skin tone | palette | woman
303,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,—,,,,—,—,—,—,—,—,—,—,—,man pilot,2010,man | pilot | plane
304,U+1F468 U+1F3FB U+200D U+2708 U+FE0F,👨🏻‍✈️,—,,,,—,—,—,—,—,—,—,—,—,man pilot: light skin tone,2015,light skin tone | man | pilot | plane
305,U+1F468 U+1F3FC U+200D U+2708 U+FE0F,👨🏼‍✈️,—,,,,—,—,—,—,—,—,—,—,—,man pilot: medium-light skin tone,2015,man | medium-light skin tone | pilot | plane
306,U+1F468 U+1F3FD U+200D U+2708 U+FE0F,👨🏽‍✈️,—,,,,—,—,—,—,—,—,—,—,—,man pilot: medium skin tone,2015,man | medium skin tone | pilot | plane
307,U+1F468 U+1F3FE U+200D U+2708 U+FE0F,👨🏾‍✈️,—,,,,—,—,—,—,—,—,—,—,—,man pilot: medium-dark skin tone,2015,man | medium-dark skin tone | pilot | plane
